35,"fif,dafgama",,,,0,,,0,,,0,,,0,,,,25,1,24,,1,23,,,23,,2,21,,10,11,,,11,,,11,25,14,11,0
36,Staff T-Shirt,,,,0,,,0,,,0,,,0,,,0,,,0,213,,213,,,213,,1,212,,4,208,,,208,,,208,213,5,208,0
37,mdg AAaA4,244,,154,90,,90,0,,,0,,,0,,,0,750,304,446,,213,233,,,233,1000,285,948,1250,590,1608,,,1608,,,1608,3000,1636,1608,0
38,mQqia:dr fld<,290,,,290,,24,266,,16,250,,12,238,,50,188,,80,108,300,112,296,,,296,,19,277,1000,536,741,,,741,,,741,1300,849,741,0
39,nhskavra .ua 80,,,,0,,,0,,,0,,,0,,,0,6,,6,,6,0,,,0,,,0,,,0,,,0,,,0,6,6,0,0
40,nhskavra .ua 115,,,,0,,,0,,,0,,,0,,,0,6,1,5,,,5,,,5,,,5,,,5,,,5,,,5,6,1,5,0
41,nhskavraaa .ua 30-40,,20,2,18,,1,17,,6,11,,,11,,,11,6,14,3,,3,0,,,0,24,6,18,,13,5,,,5,,,5,50,45,5,0
42,oshr .ua,12,,6,6,,1,5,,,5,,,5,,2,3,,,3,,,3,,,3,24,6,21,,4,17,,,17,,,17,24,19,17,0
43,"fmdvs wvsre,a",18,,13,5,,5,0,,,0,,,0,,,0,24,15,9,24,9,24,,,24,,22,2,100,10,92,,,92,,,92,148,74,92,0
44,"mdg mekai,a",6,,1,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,0,1,5,0
45,fldaKudk,10,,,10,,,10,,10,0,,,0,,,0,12,,12,,3,9,,,9,,,9,,,9,,,9,,,9,12,13,9,0
46,ljlgq,9,,1,8,,,8,,1,7,,,7,,,7,,1,6,,1,5,,,5,,1,4,,4,0,,,0,,,0,0,9,0,0
47,hilight,24,,9,15,,3,12,,1,11,,,11,,,11,,7,4,,,4,,,4,,1,3,,,3,,,3,,,3,0,21,3,0
48,mdgfmgags 06,6,,,6,,,6,,,6,,,6,,,6,6,,12,,,12,,,12,,1,11,,,11,,,11,,,11,6,1,11,0
